title,url
R-Type Dimensions EX (PS4),https://www.metacritic.com/game/playstation-4/r-type-dimensions-ex
R-Type Final 2 (PS4),https://www.metacritic.com/game/playstation-4/r-type-final-2
R.B.I. Baseball 14 (PS4),https://www.metacritic.com/game/playstation-4/rbi-baseball-14
R.B.I. Baseball 15 (PS4),https://www.metacritic.com/game/playstation-4/rbi-baseball-15
R.B.I. Baseball 16 (PS4),https://www.metacritic.com/game/playstation-4/rbi-baseball-16
R.B.I. Baseball 17 (PS4),https://www.metacritic.com/game/playstation-4/rbi-baseball-17
R.B.I. Baseball 18 (PS4),https://www.metacritic.com/game/playstation-4/rbi-baseball-18
R.B.I. Baseball 19 (PS4),https://www.metacritic.com/game/playstation-4/rbi-baseball-19
R.B.I. Baseball 20 (PS4),https://www.metacritic.com/game/playstation-4/rbi-baseball-20
R.B.I. Baseball 21 (PS4),https://www.metacritic.com/game/playstation-4/rbi-baseball-21
Rabbids Invasion (PS4),https://www.metacritic.com/game/playstation-4/rabbids-invasion
Rabbids: Party of Legends (PS4),https://www.metacritic.com/game/playstation-4/rabbids-party-of-legends
Rabi-Ribi (PS4),https://www.metacritic.com/game/playstation-4/rabi-ribi
Rabisco+ (PS4),https://www.metacritic.com/game/playstation-4/rabisco+
Race Arcade (PS4),https://www.metacritic.com/game/playstation-4/race-arcade
Race Journey (PS4),https://www.metacritic.com/game/playstation-4/race-journey
Race the Sun (PS4),https://www.metacritic.com/game/playstation-4/race-the-sun
Race with Ryan (PS4),https://www.metacritic.com/game/playstation-4/race-with-ryan
Race with Ryan: Adventure Track Pack (PS4),https://www.metacritic.com/game/playstation-4/race-with-ryan-adventure-track-pack
Race with Ryan: Road Trip Deluxe Edition (PS4),https://www.metacritic.com/game/playstation-4/race-with-ryan-road-trip-deluxe-edition
Race with Ryan: Surprise Track Pack (PS4),https://www.metacritic.com/game/playstation-4/race-with-ryan-surprise-track-pack
Racing (4 Player Cooperation Edition) - Breakthrough Gaming Arcade (PS4),https://www.metacritic.com/game/playstation-4/racing-4-player-cooperation-edition---breakthrough-gaming-arcade
Racing - Breakthrough Gaming Arcade (PS4),https://www.metacritic.com/game/playstation-4/racing---breakthrough-gaming-arcade
Racing 3 Player Cooperation Edition - Breakthrough Gaming Arcade (PS4),https://www.metacritic.com/game/playstation-4/racing-3-player-cooperation-edition---breakthrough-gaming-arcade
RACING BROS (PS4),https://www.metacritic.com/game/playstation-4/racing-bros
Racing Karts (PS4),https://www.metacritic.com/game/playstation-4/racing-karts
Rack N Ruin (PS4),https://www.metacritic.com/game/playstation-4/rack-n-ruin
Racket Fury: Table Tennis VR (PS4),https://www.metacritic.com/game/playstation-4/racket-fury-table-tennis-vr
Rad (PS4),https://www.metacritic.com/game/playstation-4/rad
Rad Rodgers (PS4),https://www.metacritic.com/game/playstation-4/rad-rodgers
Rad Rodgers: World One (PS4),https://www.metacritic.com/game/playstation-4/rad-rodgers-world-one
Radial-G: Racing Revolved (PS4),https://www.metacritic.com/game/playstation-4/radial-g-racing-revolved
Radical Rabbit Stew (PS4),https://www.metacritic.com/game/playstation-4/radical-rabbit-stew
Radical Rex: QUByte Classics (PS4),https://www.metacritic.com/game/playstation-4/radical-rex-qubyte-classics
Radio Commander (PS4),https://www.metacritic.com/game/playstation-4/radio-commander
Radio Squid (PS4),https://www.metacritic.com/game/playstation-4/radio-squid
